airport_code;region;country;latitude;longitude
MNN;Ohio;United States;40.5885271;-83.1895249
BBC;Texas;United States;28.9827565;-95.969402
OH5;Ohio;United States;39.1014537;-84.5124602
SAD;Arizona;United States;32.8332698;-109.7131615
ODW;Washington;United States;48.2931559;-122.643224
SSI;Georgia;United States;31.1499528;-81.4914894
BFR;Indiana;United States;38.8611619;-86.4872149
DUC;Oklahoma;United States;34.5023029;-97.9578129
PWA;Oklahoma;United States;35.4729886;-97.5170536
VWD;California;United States;36.3274502;-119.6456844
CAD;Michigan;United States;44.2519526;-85.4011619
TSM;New Mexico;United States;36.4072377;-105.573284
SME;Kentucky;United States;37.0920222;-84.6041084
SYI;Tennessee;United States;35.483406;-86.4602717
SLB;Iowa;United States;42.6452817;-95.1992726
MYF;California;United States;32.7174202;-117.162772
CNW;Texas;United States;31.5491899;-97.1474628
CEV;Indiana;United States;39.6411589;-85.1410748
GBD;Kansas;United States;38.3625063;-98.7804087
MPB;Florida;United States;25.7741728;-80.19362
DCU;Alabama;United States;34.6060203;-86.9838165
MMI;Tennessee;United States;35.4428864;-84.5930113
WBR;Michigan;United States;43.698078;-85.483656
CRE;South Carolina;United States;33.6956461;-78.8900409
TX6;Texas;United States;30.2711286;-97.7436995
GDC;South Carolina;United States;34.851354;-82.3984882
CGX;Illinois;United States;41.8755616;-87.6244212
STF;Mississippi;United States;33.4638745;-88.8152074
AXV;Ohio;United States;40.5678265;-84.1935594
O85;California;United States;40.5863563;-122.391675
GFL;New York;United States;43.309941;-73.644447
LFK;Texas;United States;31.5970503;-94.5927451
RBG;Oregon;United States;43.216505;-123.3417381
MXF;Alabama;United States;32.3669656;-86.3006485
WQM;Louisiana;United States;30.2305095;-93.2169807
HFD;Connecticut;United States;41.764582;-72.6908547
SWW;Texas;United States;32.4709519;-100.405938
GAD;Alabama;United States;34.0128323;-86.0030251
YKN;South Dakota;United States;42.8712938;-97.3967011
BGD;Texas;United States;35.6689767;-101.3919481
TSS;New York;United States;40.7127281;-74.0060152
ASL;Texas;United States;32.5447756;-94.3661004
MVW;Washington;United States;48.4200462;-122.32642
ZXX;Washington;United States;46.2087066;-119.119919
PHT;Tennessee;United States;36.3019461;-88.3258578
CFV;Kansas;United States;37.0372999;-95.6163634
TDZ;Ohio;United States;41.6529143;-83.5378173
LJY;Missouri;United States;37.6806669;-92.6637835
PHD;Ohio;United States;40.4897871;-81.4456706
UCA;New York;United States;43.1009031;-75.2326641
MIQ;Nebraska;United States;41.2587459;-95.9383758
KY5;Kentucky;United States;37.3280037;-87.4986989
AIY;New Jersey;United States;39.3642852;-74.4229351
JSE;Alaska;United States;58.3019496;-134.419734
MOR;Tennessee;United States;36.2139814;-83.2948923
FFM;Minnesota;United States;46.283015;-96.077558
RVS;Oklahoma;United States;36.1563122;-95.9927516
TMA;Georgia;United States;31.4549719;-83.5108284
ECG;North Carolina;United States;36.3010192;-76.2203699
TNT;Florida;United States;25.7741728;-80.19362
AOH;Ohio;United States;40.7399785;-84.105006
THV;Pennsylvania;United States;39.962493;-76.7276989
IKK;Illinois;United States;41.1253903;-87.848682
DQF;Arizona;United States;33.4484367;-112.074141
LEW;Maine;United States;44.1004515;-70.2150294
BWD;Texas;United States;31.7070026;-98.9831022
MMT;South Carolina;United States;34.0003117;-81.0331309
JWN;Tennessee;United States;36.1622767;-86.7742984
AID;Indiana;United States;40.1053196;-85.6802541
GMU;South Carolina;United States;34.851354;-82.3984882
WTC;New York;United States;40.7127281;-74.0060152
NGP;Texas;United States;27.7635302;-97.4033191
VWT;Georgia;United States;32.0723862;-84.2326876
RBL;California;United States;40.1784279;-122.235923
SUM;South Carolina;United States;33.8998826;-80.3237032
RSN;Louisiana;United States;32.5297498;-92.6386604
SNL;Oklahoma;United States;35.3272928;-96.9253004
HUT;Kansas;United States;38.0608444;-97.9297743
CGF;Ohio;United States;41.4996574;-81.6936772
PRB;California;United States;35.3540209;-120.375716
IDI;Pennsylvania;United States;40.6424116;-79.1262839
LKE;Washington;United States;47.6038321;-122.330062
AYS;Georgia;United States;31.2135511;-82.3540178
MML;Minnesota;United States;48.3605336;-96.381968
PNC;Oklahoma;United States;36.703647;-97.081898
MQJ;Indiana;United States;39.7683331;-86.1583502
HCA;Texas;United States;32.250398;-101.4787356
BJJ;Ohio;United States;40.7980976;-81.9397733
GWO;Mississippi;United States;33.5162315;-90.1795281
SQI;Illinois;United States;41.788253;-89.6953656
WV1;West Virginia;United States;38.3505995;-81.6332812
LCI;New Hampshire;United States;43.5278546;-71.470351
XXW;Florida;United States;30.1894252;-82.6394803
CHI;Illinois;United States;41.8755616;-87.6244212
HUA;Alabama;United States;34.729847;-86.5859011
WDG;Oklahoma;United States;36.3967623;-97.8791341
AR1;Arkansas;United States;35.2784173;-93.1337856
IRS;Michigan;United States;41.799217;-85.4191482
OH3;Ohio;United States;39.3331197;-82.9824019
GBG;Illinois;United States;40.9475652;-90.3712169
TVI;Georgia;United States;30.8365815;-83.9787808
OTM;Iowa;United States;41.0195659;-92.4116886
CWI;Iowa;United States;41.9054695;-90.5599971
EGP;Texas;United States;28.7083999;-100.503941
DVN;Iowa;United States;41.5235808;-90.5770967
OH1;Ohio;United States;39.5364511;-83.4390843
DTN;Louisiana;United States;32.5135356;-93.7477839
BSM;Texas;United States;30.2711286;-97.7436995
BGS;Texas;United States;32.250398;-101.4787356
NFL;Nevada;United States;39.4745166;-118.777895
CBM;Mississippi;United States;33.4956744;-88.4272627
MI2;Michigan;United States;42.7876022;-86.1090828
BKG;Missouri;United States;36.6440772;-93.2169256
