Airport Code;City
TMA;Tifton, GA
MNN;Marion, OH
NY3;Oneonta, NY
SRW;Salisbury, NC
SSI;Brunswick, GA
DQU;Ketchikan, AK
EKI;Elkhart, IN
HCA;Big Spring, TX
WVL;Augusta, ME
DTN;Shreveport, LA
TBR;Statesboro, GA
OLU;Columbus, NE
1B1;Hudson, NY
AID;Anderson, IN
BYI;Burley, ID
MOR;Morristown, TN
BGD;Borger, TX
MIQ;Omaha, NE
BKG;Branson, MO
PRB;San Luis Obispo, CA
FAM;Farmington, MO
GGE;Georgetown, SC
RVS;Tulsa, OK
FWH;Dallas, TX
EKX;Elizabethtown, KY
OH2;Bellefontaine, OH
ECG;Elizabeth City, NC
CGF;Cleveland, OH
WV1;Charleston, WV
DNV;Danville, IL
IRS;Sturgis, MI
LOZ;London, KY
HUM;Houma, LA
SIK;Sikeston, MO
XWL;Blackfoot, ID
ARB;Ann Arbor, MI
NIP;Jacksonville, FL
MIW;Marshalltown, IA
HBG;Hattiesburg, MS
UBS;Columbus, MS
BKX;Brookings, SD
BVX;Batesville, AR
IN1;Auburn, IN
GLW;Glasgow, KY
ULS;Wichita, KS
MEJ;Meadville, PA
ELN;Ellensburg, WA
DLF;Del Rio, TX
LHV;Lock Haven, PA
NFL;Fallon, NV
TNT;Miami, FL
AL3;Huntsville, AL
SEM;Selma, AL
JRB;New York, NY
VWL;Bemidji, MN
BMC;Brigham City, UT
WGO;Winchester, VA
SHN;Shelton, WA
IKK;Kankakee, IL
MUT;Muscatine, IA
RUI;Ruidoso, NM
VWH;Midland, TX
OTM;Ottumwa, IA
END;Enid, OK
THV;York, PA
TKF;Truckee, CA
JRA;New York, NY
KY3;Mount Sterling, KY
SUM;Sumter, SC
WDG;Enid, OK
DQC;Sebastian, FL
DNE;Dallas, TX
GBG;Galesburg, IL
NZC;Jacksonville, FL
PSF;Pittsfield, MA
GBD;Great Bend, KS
WMH;Mountain Home, AR
BOK;Brookings, OR
FFM;Fergus Falls, MN
SWO;Stillwater, OK
SLB;Storm Lake, IA
BSM;Austin, TX
CUB;Columbia, SC
DMO;Sedalia, MO
MIO;Miami, OK
MYF;San Diego, CA
SVC;Silver City, NM
WTC;New York, NY
MRC;Columbia, TN
LWF;Lawrenceburg, TN
KY1;Danville, KY
CBM;Columbus, MS
BBC;Bay City, TX
MS1;Grenada, MS
RID;Richmond, IN
THA;Tullahoma, TN
SME;Somerset, KY
RSN;Ruston, LA
MML;Marshall, MN
MMI;Athens, TN
ZZV;Zanesville, OH
OSU;Columbus, OH
MDD;Midland, TX
LJY;Lebanon, MO
TSS;New York, NY
RBG;Roseburg, OR
PRZ;Prineville, OR
TVI;Thomasville, GA
CAD;Cadillac, MI
GRF;Tacoma, WA
XXW;Lake City, FL
TDZ;Toledo, OH
TDW;Amarillo, TX
NZJ;Santa Ana, CA
HUT;Hutchinson, KS
PNC;Ponca City, OK
AMW;Ames, IA
ODW;Oak Harbor, WA
GRD;Greenwood, SC
KDK;Kodiak, AK
LFK;Nacogdoches, TX
KY5;Madisonville, KY
IDI;Indiana, PA
NC3;Shelby, NC
CHI;Chicago, IL
FET;Fremont, NE
JWN;Nashville, TN
STF;Starkville, MS
MHE;Mitchell, SD
O85;Redding, CA
GDC;Greenville, SC
RND;San Antonio, TX
VWD;Hanford, CA
CRS;Corsicana, TX
ASL;Marshall, TX
DUC;Duncan, OK
LUL;Laurel, MS
HKS;Jackson, MS
MPB;Miami, FL
TN6;Dyersburg, TN
CPS;St. Louis, MO
AYS;Waycross, GA
CVS;Clovis, NM
GWO;Greenwood, MS
MZZ;Marion, IN
MPS;Mount Pleasant, TX
AXV;Wapakoneta, OH
SAD;Safford, AZ
AMK;Durango, CO
GVL;Gainesville, GA
DQF;Phoenix, AZ
MVW;Mount Vernon, WA
SWW;Sweetwater, TX
SVH;Statesville, NC
BFR;Bedford, IN
FVS;Rexburg, ID
TX6;Austin, TX
BWD;Brownwood, TX
ASN;Talladega, AL
BGS;Big Spring, TX
DCU;Decatur, AL
NGP;Corpus Christi, TX
JCC;San Francisco, CA
LEW;Lewiston, ME
ILE;Killeen, TX
AIY;Atlantic City, NJ
SCF;Phoenix, AZ
S27;Kalispell, MT
STK;Sterling, CO
MI2;Holland, MI
PHT;Paris, TN
SBM;Sheboygan, WI
HLM;Holland, MI
SRC;Searcy, AR
WQM;Lake Charles, LA
SNL;Shawnee, OK
VWT;Americus, GA
JZU;Bennington, VT
OGB;Orangeburg, SC
MVN;Mount Vernon, IL
WBR;Big Rapids, MI
EAR;Kearney, NE
EGP;Eagle Pass, TX
LCI;Laconia, NH
SAW;Marquette, MI
CEV;Connersville, IN
ZXX;Kennewick, WA
CWI;Clinton, IA
TN3;Lewisburg, TN
DNN;Dalton, GA
RMG;Rome, GA
MMT;Columbia, SC
CRE;Myrtle Beach, SC
SER;Seymour, IN
MOP;Mount Pleasant, MI
WFB;Ketchikan, AK
UXJ;Richmond, KY
LKE;Seattle, WA
MXF;Montgomery, AL
MQJ;Indianapolis, IN
PBF;Pine Bluff, AR
OWA;Owatonna, MN
SGH;Springfield, OH
ESF;Alexandria, LA
CNW;Waco, TX
HFD;Hartford, CT
BJJ;Wooster, OH
YKN;Yankton, SD
GFL;Glens Falls, NY
AWX;Andrews, TX
CFV;Coffeyville, KS
OH5;Cincinnati, OH
MHL;Marshall, MO
UCA;Utica, NY
RBL;Red Bluff, CA
PHD;New Philadelphia, OH
SYI;Shelbyville, TN
JSE;Juneau, AK
OH1;Washington Court House, OH
ATO;Athens, OH
GMU;Greenville, SC
FEP;Freeport, IL
AOH;Lima, OH
AR1;Russellville, AR
OH3;Chillicothe, OH
HUA;Huntsville, AL
GAD;Gadsden, AL
HIK;Honolulu, HI
LXN;Lexington, NE
MKT;Mankato, MN
LSD;Lexington, KY
PWA;Oklahoma City, OK
II2;Chicago, IL
CGX;Chicago, IL
GCY;Greeneville, TN
FCH;Fresno, CA
DVN;Davenport, IA
UCY;Union City, TN
TSM;Taos, NM
HSI;Hastings, NE
SPA;Spartanburg, SC
SQI;Sterling, IL
PMH;Portsmouth, OH
