Airport Code;City
DNV;Danville, IL
SRW;Salisbury, NC
ODW;Oak Harbor, WA
LUL;Laurel, MS
HFD;Hartford, CT
NIP;Jacksonville, FL
BSM;Austin, TX
GRD;Greenwood, SC
KY3;Mount Sterling, KY
TX6;Austin, TX
LXN;Lexington, NE
HIK;Honolulu, HI
ASL;Marshall, TX
MVN;Mount Vernon, IL
OH3;Chillicothe, OH
O85;Redding, CA
1B1;Hudson, NY
BGS;Big Spring, TX
GRF;Tacoma, WA
AMK;Durango, CO
HLM;Holland, MI
PHD;New Philadelphia, OH
FFM;Fergus Falls, MN
DNN;Dalton, GA
HSI;Hastings, NE
THA;Tullahoma, TN
BFR;Bedford, IN
BKG;Branson, MO
MIQ;Omaha, NE
CRE;Myrtle Beach, SC
AMW;Ames, IA
MHL;Marshall, MO
PSF;Pittsfield, MA
ASN;Talladega, AL
SER;Seymour, IN
KY5;Madisonville, KY
RVS;Tulsa, OK
JCC;San Francisco, CA
LOZ;London, KY
TN6;Dyersburg, TN
MIO;Miami, OK
ATO;Athens, OH
CNW;Waco, TX
BWD;Brownwood, TX
CRS;Corsicana, TX
PNC;Ponca City, OK
EKX;Elizabethtown, KY
HUM;Houma, LA
DUC;Duncan, OK
RMG;Rome, GA
IN1;Auburn, IN
MPB;Miami, FL
IRS;Sturgis, MI
WTC;New York, NY
MHE;Mitchell, SD
JZU;Bennington, VT
CFV;Coffeyville, KS
AWX;Andrews, TX
OTM;Ottumwa, IA
BGD;Borger, TX
STK;Sterling, CO
GCY;Greeneville, TN
FET;Fremont, NE
FEP;Freeport, IL
MOP;Mount Pleasant, MI
AOH;Lima, OH
MIW;Marshalltown, IA
TDW;Amarillo, TX
PRZ;Prineville, OR
MQJ;Indianapolis, IN
GWO;Greenwood, MS
ILE;Killeen, TX
LWF;Lawrenceburg, TN
EKI;Elkhart, IN
VWT;Americus, GA
KY1;Danville, KY
WVL;Augusta, ME
WFB;Ketchikan, AK
MOR;Morristown, TN
RUI;Ruidoso, NM
LFK;Nacogdoches, TX
HBG;Hattiesburg, MS
VWH;Midland, TX
MKT;Mankato, MN
GBD;Great Bend, KS
WMH;Mountain Home, AR
SPA;Spartanburg, SC
TKF;Truckee, CA
CVS;Clovis, NM
ZZV;Zanesville, OH
TMA;Tifton, GA
UXJ;Richmond, KY
AL3;Huntsville, AL
CPS;St. Louis, MO
DQC;Sebastian, FL
UCA;Utica, NY
UCY;Union City, TN
EAR;Kearney, NE
ESF;Alexandria, LA
WDG;Enid, OK
DNE;Dallas, TX
AIY;Atlantic City, NJ
DMO;Sedalia, MO
S27;Kalispell, MT
TNT;Miami, FL
NFL;Fallon, NV
II2;Chicago, IL
SSI;Brunswick, GA
HUT;Hutchinson, KS
FCH;Fresno, CA
DLF;Del Rio, TX
PMH;Portsmouth, OH
RSN;Ruston, LA
SHN;Shelton, WA
PHT;Paris, TN
RID;Richmond, IN
CAD;Cadillac, MI
DCU;Decatur, AL
BMC;Brigham City, UT
OWA;Owatonna, MN
GGE;Georgetown, SC
GVL;Gainesville, GA
OH5;Cincinnati, OH
GAD;Gadsden, AL
RBG;Roseburg, OR
SGH;Springfield, OH
KDK;Kodiak, AK
OH1;Washington Court House, OH
WBR;Big Rapids, MI
MML;Marshall, MN
LHV;Lock Haven, PA
STF;Starkville, MS
CEV;Connersville, IN
JSE;Juneau, AK
XXW;Lake City, FL
MUT;Muscatine, IA
SAW;Marquette, MI
MRC;Columbia, TN
ULS;Wichita, KS
MDD;Midland, TX
BVX;Batesville, AR
SBM;Sheboygan, WI
RBL;Red Bluff, CA
IDI;Indiana, PA
WV1;Charleston, WV
GFL;Glens Falls, NY
PBF;Pine Bluff, AR
OGB;Orangeburg, SC
SWW;Sweetwater, TX
PWA;Oklahoma City, OK
SQI;Sterling, IL
RND;San Antonio, TX
SNL;Shawnee, OK
BJJ;Wooster, OH
VWD;Hanford, CA
SME;Somerset, KY
MEJ;Meadville, PA
SLB;Storm Lake, IA
BKX;Brookings, SD
BBC;Bay City, TX
MYF;San Diego, CA
END;Enid, OK
VWL;Bemidji, MN
AR1;Russellville, AR
SUM;Sumter, SC
OLU;Columbus, NE
CBM;Columbus, MS
SVC;Silver City, NM
TDZ;Toledo, OH
FWH;Dallas, TX
GDC;Greenville, SC
TSS;New York, NY
FAM;Farmington, MO
BYI;Burley, ID
FVS;Rexburg, ID
NZJ;Santa Ana, CA
OH2;Bellefontaine, OH
NY3;Oneonta, NY
CGF;Cleveland, OH
DQU;Ketchikan, AK
CWI;Clinton, IA
WGO;Winchester, VA
LEW;Lewiston, ME
ELN;Ellensburg, WA
CHI;Chicago, IL
AID;Anderson, IN
IKK;Kankakee, IL
SAD;Safford, AZ
TSM;Taos, NM
GMU;Greenville, SC
NZC;Jacksonville, FL
EGP;Eagle Pass, TX
SCF;Phoenix, AZ
MPS;Mount Pleasant, TX
AXV;Wapakoneta, OH
OSU;Columbus, OH
HKS;Jackson, MS
YKN;Yankton, SD
NGP;Corpus Christi, TX
MZZ;Marion, IN
AYS;Waycross, GA
MVW;Mount Vernon, WA
MS1;Grenada, MS
HCA;Big Spring, TX
DVN;Davenport, IA
MMT;Columbia, SC
HUA;Huntsville, AL
MMI;Athens, TN
DTN;Shreveport, LA
LCI;Laconia, NH
ZXX;Kennewick, WA
THV;York, PA
LKE;Seattle, WA
LSD;Lexington, KY
ARB;Ann Arbor, MI
SYI;Shelbyville, TN
WQM;Lake Charles, LA
JWN;Nashville, TN
DQF;Phoenix, AZ
SRC;Searcy, AR
SVH;Statesville, NC
CGX;Chicago, IL
MNN;Marion, OH
LJY;Lebanon, MO
SWO;Stillwater, OK
GBG;Galesburg, IL
UBS;Columbus, MS
PRB;San Luis Obispo, CA
MI2;Holland, MI
SIK;Sikeston, MO
CUB;Columbia, SC
SEM;Selma, AL
MXF;Montgomery, AL
JRA;New York, NY
ECG;Elizabeth City, NC
TBR;Statesboro, GA
BOK;Brookings, OR
TVI;Thomasville, GA
GLW;Glasgow, KY
TN3;Lewisburg, TN
NC3;Shelby, NC
JRB;New York, NY
XWL;Blackfoot, ID
